architecture,controls,mad.score_Dexamethasone,mad.score_FBS,mad.score_Serum Free,pval.empirical_Dexamethasone,pval.empirical_FBS,pval.empirical_Serum Free,pval.mad_Dexamethasone,pval.mad_FBS,pval.mad_Serum Free,pval.zscore_Dexamethasone,pval.zscore_FBS,pval.zscore_Serum Free,statistic_Dexamethasone,statistic_FBS,statistic_Serum Free,zscore_Dexamethasone,zscore_FBS,zscore_Serum Free
"AR-1:1266, 1, set2, minTK",FALSE,8.37031597679335,-0.9587655400555407,-0.8310341694996037,0.013071895424836555,0.9313725490196079,0.8660130718954249,2.873196822059662e-17,0.8311615636103158,0.7970228366941978,2.26807135129688e-4,0.7734435590725203,0.7561735343068459,0.8158637204413581,0.26987353102097067,0.28201108908933376,3.5067504901241398,-0.7502354994929551,-0.6940466860788396
"Ar-1:1268, 1, set2, minCMV",FALSE,85.7202984827614,2.0912026629446685,2.2851068787971793,0,0.1470588235294118,0.10457516339869277,0,0.018254950363514096,0.011153280781997012,0,0.2646408184004102,0.1823892303582469,5.68659390241224,0.4359406493582561,0.43926141531977236,38.57811193379826,0.6291029843710216,0.9062974011321617
"Ar-1:1268, 1, set2, minProm",FALSE,18.491803466669648,-0.3733107170036105,0.45783011691985653,0.0032679738562091387,0.6503267973856209,0.3594771241830066,1.2018954812980168e-76,0.6455413994759756,0.3235372483914333,2.8410049751709785e-16,0.6863268766704551,0.5128157356715848,1.4532140210645994,0.30175084544190817,0.3470512545905068,8.095947987068488,-0.4854654054293722,-0.03212981260605576
"Ar-1:1268, 1, set2, minTK",FALSE,13.124267101483843,-0.5941458030222457,-0.11739960706786473,0.0032679738562091387,0.7875816993464052,0.5294117647058824,1.1954228346426231e-39,0.7237927008995466,0.5467283022829131,7.470222514030877e-9,0.7208395558036216,0.6283733684100777,1.115220132381824,0.28972663931188813,0.31802334463631676,5.662245976716102,-0.585337375384101,-0.3275482398543755
"AR-1:1599, 4, set2, minCMV",FALSE,70.77926879525849,1.5980223062160854,1.2092948495449833,0,0.20261437908496727,0.17320261437908502,0,0.05501900644114806,0.11327479444157247,2.878813391392636e-222,0.3423478887406852,0.3617455399212913,4.745756918473318,0.4090875691910906,0.384972540092188,31.803679212101787,0.406063726174056,0.3537969227262665
"AR-1:1599, 4, set2, minProm",FALSE,12.415866307701659,-1.2193558636850597,-1.0597813351845817,0.0032679738562091387,0.9803921568627451,0.9477124183006536,1.0717699006046351e-35,0.8886454229440405,0.8553779549664071,4.620513501397933e-8,0.8073265506172997,0.7914674348177695,1.0706121180627415,0.25568469978359404,0.27046778412632133,5.341049003157592,-0.8680866500561595,-0.811523452501309
"AR-1:1599, 4, set2, minTK",FALSE,8.402127716650135,-0.7099979483404751,0.02668751048586506,0.013071895424836555,0.8235294117647058,0.49673202614379086,2.19230292951406e-17,0.7611472957714134,0.48935448738706727,2.1482005758058224e-4,0.7381756451257887,0.6000783839490592,0.817866906433669,0.2834186286554933,0.3252944359925029,3.521174294636097,-0.6377311420858139,-0.2535499955366406
"Ar-1:1601, 4, set2, minCMV",FALSE,77.40147035844898,0.9408106863224587,1.3579041391861941,0,0.27450980392156865,0.16666666666666663,0,0.17340094179213578,0.08724705190694837,9.77847626054125e-266,0.4566639657521993,0.333555048643005,5.162757103605073,0.37330318306334237,0.3924718345447697,34.80626068725077,0.10884184744425959,0.430117600864995
"Ar-1:1601, 4, set2, minProm",FALSE,17.98297979645447,-0.5313288714366939,-0.4359339013469491,0.0032679738562091387,0.7549019607843137,0.6895424836601307,1.3243377489367458e-72,0.7024045491128208,0.6685576562674849,1.8419296009382988e-15,0.7112118990659116,0.6883350896567899,1.4211733828184685,0.2931469460550671,0.3019490973815763,7.865241550285046,-0.55692861653574,-0.4911366225760396
"Ar-1:1601, 4, set2, minTK",FALSE,12.710643739889619,0.25198418199085404,0.0776519690911631,0.0032679738562091387,0.4117647058823529,0.48039215686274506,2.5803921354633455e-37,0.4005266451630445,0.4690524508950303,2.191212149138755e-8,0.5803065474587489,0.5899344582974246,1.0891742597647256,0.33579740431582294,0.32786626365294247,5.474704442173424,-0.2026777628898595,-0.22737638249320086
