statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red,architecture
0.5684740016031355,0.7525882595475551,0.8207381196983459,2,81,7,5,"BARHL2-1:1891, 8, set2, minCMV"
1.6159112332543373,0.4457684569335313,0.5524548989935903,2,86,7,5,"BARHL2-1:1891, 8, set2, minProm"
2.7875204482534173,0.2481404843302247,0.35446353162936206,2,78,7,5,"BARHL2-1:1891, 8, set2, minTK"
0.8965229814712075,0.6387376382175263,0.7246262604233554,2,52,7,5,"BARHL2-1:226, 1, set1, minCMV"
2.1777986836832497,0.33658675686271405,0.4489733367077744,2,41,7,5,"BARHL2-1:226, 1, set1, minProm"
5.873564862617513,0.05303610179850497,0.10269474692510011,2,59,7,5,"BARHL2-1:226, 1, set1, minTK"
0.3354585166225661,0.8455827381948878,0.8929795698062243,2,52,7,5,"BARHL2-1:559, 4, set1, minCMV"
13.443998374867988,0.0012041285274321492,0.003882287357211685,2,69,7,5,"BARHL2-1:559, 4, set1, minProm"
3.0054705735419702,0.22252066911954935,0.3272018074532612,2,65,7,5,"BARHL2-1:559, 4, set1, minTK"
2.28512460427919,0.3190005978249657,0.42990442601596257,2,77,7,5,"BARHL2-1:892, 8, set1, minCMV"
10.838845895921622,0.004429702079069923,0.012222475368215394,2,74,7,5,"BARHL2-1:892, 8, set1, minProm"
14.256543488685566,8.021044318141555e-4,0.0027024275481089097,2,58,7,5,"BARHL2-1:892, 8, set1, minTK"
0.1945669909409844,0.9072987545828635,0.9375216942543654,2,62,7,5,"BARHL2-2:1226, 1, set2, minCMV"
3.186756337395309,0.20323787890878964,0.3047913217191943,2,60,7,5,"BARHL2-2:1226, 1, set2, minProm"
4.190544468974622,0.12303674424933687,0.20523945768045276,2,77,7,5,"BARHL2-2:1226, 1, set2, minTK"
16.478416446575466,2.6409326959589066e-4,0.0010031297846988005,2,75,7,5,"BARHL2-2:1559, 4, set2, minCMV"
32.59771350262963,8.346347288192868e-8,5.740567194185957e-7,2,77,7,5,"BARHL2-2:1559, 4, set2, minProm"
